# Constructed from biom file
#OTU ID	sample02	sample03
denovo8235	3.0	2.0
denovo8249	3.0	4.0
denovo8256	22.0	39.0
denovo8257	2.0	6.0
denovo8269	19.0	7.0
denovo8272	1.0	2.0
denovo8309	1.0	2.0
denovo8330	4.0	3.0
denovo8345	42.0	39.0
denovo8377	3.0	1.0
denovo8386	36.0	22.0
denovo8399	1.0	4.0
denovo8400	1.0	3.0
denovo8412	2.0	1.0
denovo8414	50.0	45.0
denovo8426	3.0	2.0
denovo8457	1.0	5.0
denovo8460	2.0	1.0
denovo8463	5.0	1.0
denovo8467	20.0	36.0
denovo8476	1.0	3.0
denovo8487	2.0	1.0
denovo8490	1.0	3.0
denovo8535	1.0	3.0
denovo8542	4.0	7.0
denovo8589	3.0	1.0
denovo8593	6.0	7.0
denovo8626	2.0	3.0
denovo8662	7.0	6.0
denovo8666	1.0	11.0
denovo8690	3.0	1.0
denovo8707	1.0	2.0
denovo8721	2.0	3.0
denovo8731	1.0	2.0
denovo8741	1.0	2.0
denovo8759	1.0	2.0
denovo8768	18.0	14.0
denovo8774	66.0	43.0
denovo8782	1.0	3.0
denovo8799	9.0	16.0
denovo8824	2.0	1.0
denovo8831	5.0	7.0
denovo8840	1.0	2.0
denovo8865	34.0	35.0
denovo8871	9.0	2.0
denovo8872	2.0	1.0
denovo8874	7.0	2.0
denovo8889	8.0	13.0
denovo8896	12.0	8.0
denovo8899	3.0	1.0
denovo8917	3.0	2.0
denovo8928	5.0	4.0
denovo8930	8.0	12.0
denovo8943	2.0	1.0
denovo8952	2.0	2.0
denovo8982	1.0	12.0
denovo8996	8.0	19.0
denovo9015	31.0	43.0
denovo9024	3.0	1.0
denovo9037	2.0	1.0
denovo9039	9.0	28.0
denovo9042	4.0	3.0
denovo9045	1.0	2.0
denovo9059	2.0	3.0
denovo9064	2.0	2.0
denovo9065	32.0	83.0
denovo9069	4.0	6.0
denovo9074	2.0	3.0
denovo9079	4.0	3.0
denovo9086	2.0	2.0
denovo9103	2.0	2.0
denovo9104	1.0	2.0
denovo9106	6.0	4.0
denovo9109	11.0	20.0
denovo9122	2.0	3.0
denovo9134	2.0	1.0
denovo9141	2.0	5.0
denovo9144	3.0	1.0
denovo9168	1.0	4.0
denovo9181	9.0	10.0
denovo9194	2.0	4.0
denovo9207	1.0	5.0
denovo9237	2.0	1.0
denovo9247	3.0	7.0
denovo9262	2.0	7.0
denovo9275	4.0	6.0
denovo9290	2.0	2.0
denovo9325	2.0	3.0
denovo9337	3.0	4.0
denovo9340	4.0	5.0
denovo9350	11.0	11.0
denovo9380	10.0	9.0
denovo9381	65.0	133.0
denovo9399	36.0	31.0
denovo9401	2.0	6.0
denovo9405	1.0	2.0
denovo9419	2.0	2.0
denovo9421	4.0	19.0
denovo9422	2.0	7.0
denovo9441	13.0	13.0
denovo9454	15.0	20.0
denovo9457	1.0	2.0
denovo9463	6.0	2.0
denovo9483	1.0	5.0
denovo9500	84.0	117.0
denovo9510	2.0	4.0
denovo9523	4.0	4.0
denovo9526	18.0	31.0
denovo9547	40.0	24.0
denovo9562	4.0	1.0
denovo9574	1.0	2.0
denovo9582	2.0	9.0
denovo9608	6.0	9.0
denovo9621	1.0	3.0
denovo9634	2.0	2.0
denovo9636	1.0	2.0
denovo9645	1.0	4.0
denovo9651	2.0	10.0
denovo9654	1.0	2.0
denovo9680	1.0	4.0
denovo9691	56.0	74.0
denovo9708	1.0	3.0
denovo9710	2.0	1.0
denovo9739	1.0	5.0
denovo9752	2.0	1.0
denovo9759	2.0	1.0
denovo9835	6.0	5.0
denovo9873	4.0	8.0
denovo9877	52.0	74.0
denovo9881	2.0	2.0
denovo9884	2.0	2.0
denovo9898	2.0	1.0
denovo9919	1.0	3.0
denovo9941	37.0	42.0
denovo9954	1.0	3.0
denovo9986	2.0	14.0
denovo9987	1.0	4.0
denovo10005	2.0	1.0
denovo10009	3.0	9.0
denovo10014	1.0	4.0
denovo10016	4.0	9.0
denovo10052	71.0	40.0
denovo10062	2.0	5.0
denovo10078	4.0	4.0
denovo10084	1.0	3.0
denovo10088	4.0	4.0
denovo10105	4.0	1.0
denovo10134	3.0	3.0
denovo10142	3.0	6.0
denovo10146	4.0	6.0
denovo10156	1.0	14.0
denovo10166	1.0	2.0
denovo10195	2.0	2.0
